transaction_id,old_parent,new_parent,child,type,date
2157/29_tr_03,Minister of Transport Services Management,State Minister of Transport Services Management,Sri Lanka Central Transport Board,department,2020-01-09
2157/29_tr_04,Minister of Transport Services Management,State Minister of Transport Services Management,Department of Sri Lanka Railways,department,2020-01-09
