transaction_id,old_parent,new_parent,child,type,date
2156/15_tr_05,Minister of Education,State Minister of Education Services,Department of Educational Publications,department,2019-12-31
2156/15_tr_06,Minister of Education,State Minister of Education Services,Sri Lanka Publication Development Bureau,department,2019-12-31
2156/15_tr_07,Minister of Education,State Minister of Education Services,National Library and Documentation Services Board,department,2019-12-31
2156/15_tr_08,Minister of Education,State Minister of Education Services,Piriven Education Board,department,2019-12-31
2156/15_tr_09,Minister of Education,State Minister of Education Services,State Printing Corporation,department,2019-12-31
