transaction_id,parent,parent_type,child,child_type,rel_type,date
,,,Minister of Defence,,,
,,,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",,,
,,,Minister of Energy,,,
,,,"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",,,
,,,"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour",,,
,,,"Minister of Education, Science and Technology",,,
,,,"Minister of Women, Child and Youth Affairs and Sports",,,
,,,"Minister of Trade, Commerce, Food Security, Co-operative Development, Industry and Entrepreneurship Development",,,
,,,Minister of Health,,,
,,,"Minister of Buddhasasana, Religious and Cultural Affairs, National Integration, Social Security, and Mass Media",,,
,,,"Minister of Transport, Highways, Ports and Civil Aviation",,,
,,,Minister of Public Security,,,
,,,Minister of Foreign Affairs,,,
,,,"Minister of Environment, Wildlife, Forest Resources, Water Supply, Plantation and Community Infrastructure",,,
,,,"Minister of Rural and Urban Development, Housing and Construction",,,
